round,x_type,slice,metric,group,client,value
1,I,last_block,norm,benign,6,0.3920811116695404
1,I,last_block,cos_all,benign,6,0.8460330963134766
1,I,last_block,cos_loo,benign,6,0.7824130058288574
1,I,last_block,V_all,malicious,7,1.595749154148507e-06
1,I,last_block,V_loo,malicious,7,1.9700607936101733e-06
1,I,last_block,norm,malicious,7,0.23579934239387512
1,I,last_block,cos_all,malicious,7,0.6707507371902466
1,I,last_block,cos_loo,malicious,7,0.6058226823806763
1,I,last_block,V_all,malicious,8,2.3982240691111656e-06
1,I,last_block,V_loo,malicious,8,2.9607704163936432e-06
1,I,last_block,norm,malicious,8,0.3084215521812439
1,I,last_block,cos_all,malicious,8,0.6735599040985107
1,I,last_block,cos_loo,malicious,8,0.5862947106361389
1,I,last_block,V_all,malicious,9,6.57181658425543e-07
1,I,last_block,V_loo,malicious,9,8.113353828775871e-07
1,I,last_block,norm,malicious,9,0.20646588504314423
1,I,last_block,cos_all,malicious,9,0.8471387624740601
1,I,last_block,cos_loo,malicious,9,0.8175309300422668
1,g,head,V_all,benign,0,0.000528584816493094
1,g,head,V_loo,benign,0,0.0006525738281197846
1,g,head,norm,benign,0,1.489745020866394
1,g,head,cos_all,benign,0,0.6229353547096252
1,g,head,cos_loo,benign,0,0.5062165260314941
1,g,head,V_all,benign,1,0.0007902449578978121
1,g,head,V_loo,benign,1,0.0009756110375747085
1,g,head,norm,benign,1,1.5727952718734741
1,g,head,cos_all,benign,1,0.4439300000667572
1,g,head,cos_loo,benign,1,0.2895297110080719
1,g,head,V_all,benign,2,0.0006649111164733768
